fra	nnb
C'est moi qui t'ai pris pour Roy en te voyant pour la première fois.	Inze ngakwimayamo Roy erikulangira ryerimbere.
Les algériens détestent Israël car leur religion leur permet de tuer des juifs.	Abanya Algeria batsukirwe e Israeli busana ekisomo kyabo kikaba hamulhira erith'abayahudi.
L'afflux de travailleurs étrangers a causé un sérieux problème de logement, dans cette zone.	Obunzi bwabakolhi abehihya mobwalhet'olubanza lunzi olwobwikalo,omo kithath'ekyo.
Regarde, regarde ce requin qui nous a suivi toute la nuit - eh bien il ne fait qu'attendre que tu te mettes à l'eau pour t'avaler.	Lhebaya, lhebaya omunama oyu owalhia thukwama omo kiro kyosi-akalhinda uye omomaghetse nerio akumere.
En privant leur population de la vision stéréoscopique que donne la connaissance d’une langue étrangère, les États de langue anglaise s’enferment dans une mentalité qui empêche leurs citoyens de comprendre les sociétés différentes des leurs.	Erim'abahimbani babo nerilangira ebyenyuma ebikahabawa nobulhengekania omomubughe owehihya, obuthabalhi obwe mibugh'eye bungeresa bukayikingir'omo malhengekania wabahimbani babo erithendi hulhikirira ebihanda ebita sosir'ebiabio.
Le besoin de voir de beaux acteurs jouer dans des histoires irréelles est une forme puérile de rejet de la réalité.	Engumbu yerilangir'aba sathi abowene bakasatha omo historia eyithe ya kwanene nibulhingabwana obwerighusa ekwenene.
Pour se délasser de leurs fatigues, ils s'asseyaient au fond du jardin sous une tonnelle de rosiers grimpants, et ils faisaient des projets. Projets de bonheur et de travail, d'amour et de retraite.	Eriyikakya, bakikala omo kathikathi akeririma omondina, bakakoler'amo emikolano. Emikolono yobutseme nevyerikola, evyolwanzo neye nduhuke.
Tandis que des centaines de millions de personnes sont sortis de la faim et de la pauvreté ces dernières années, nombreux sont ceux en Occident qui le déplorent et vouent le capitalisme aux gémonies.	Okolundi luhand'enzighe nenzighe eyavandu movakalw'omokayange nomo vunakwa omo mughulu eye kinyuma nyuma, abanzi nibe malengera ryuba abanzire olumbuka ahovakakanganiraya abithi.
Au secours, je m'appauvris ! Le taux d'intérêt sur mon livret d'épargne est plus bas que le taux d'inflation.	Obuwathikya, ngayihiramo munaku ! Olulheng'olwe ndundi oko kisayi kyaghe ni luke okolwendundi eyeryeruka.
La nièce ressemble à sa tante.	Omusingisamo asosire songalhi wiwe.
Le succès de Barbara ne fait aucun doute.	Erikumayira rya Barabara sirithikwathikwako.
Tu n'as pas besoin de me faire un dessin. J'ai pigé.	Sikya muhungo erimba ekisasamira. Namalapa.
Elle a menacé de me tuer.	Mwabuyir'athi akenyitha.
Ma mamie a parlé avec nostalgie des merveilleux jours de son enfance.	Mukaka wayevmwaka tukaniraya nolukando okoviro vivuya vobwana bwiwe.
Quel bon tireur !	Mupiki wahi muvuya !
Terry a été très heureux d'apprendre cette nouvelle.	Terry mwakatsema kundu owa omwatsi oyo.
Les nouveaux meubles sont arrivés aujourd'hui.	Ebindu bihiaka byabiri hika munabwire.
Sire, je n'ai pas eu besoin de cette hypothèse.	Wolukengerwa, sinithayithagha obulhengekani'obo.
Rien ne ressemble plus à l'amour divin que l'amour sans espoir.	Sihalhi ekisosire olwanzo olomunyambiani ngolwanzo olu thekomaha.
« C'est un passe-temps étrange qu'elle a, l'élève transférée. » « Elle est mignonne, donc je n'ai aucun problème. »	« Niherya endambi yo buyira yawitheko, omwigha oyulhia thumawa. » «Aghambire, nibwambu sindi na mbugha. »
Le figuier forme ses premiers fruits et les vignes en fleur exhalent leur parfum.	Omuthi akalusaya ebighuma bikuwagho ebyerimbere nebighuma biamawa bika kumbisyamarasi.
L'internet est à la Chine, ce que la soupape est à la cocotte-minute, ça permet de garder la pression tout en évitant que ça explose.	E internet niye Chine, nge kiuma kikahulawamo soupape kiri oko ekindi kikahulawamo cocotte-minute, bikawathikay'eribik'akaghala omwikakirya ekyuma sikihuthe.
Timéo n'avait pas le temps de fêter sa victoire; car le prochain objectif attendait déjà.	Timéo syabiawit'endambi eyeriya omo kisendebelhe kyenzinganoyiwe; vusana evyember'evyerilhengerera vilwe ivinalhindirire.
Je ne suis pas venue parce que personne ne m'a invitée.	Sinyi thasa vusana sihalhi nomund'oyuliambirikira.
J'ai vu dans ma vie plusieurs édifices magnifiques, mais jamais aucun plus beau ni plus riche.	Molangira omwiviaho ryaghe evyeriherera binji ebyowene, alhiwe sihalhi hatabia ekyowene kutsibu nikiri kitheke kundu.
""" Chaste Vesta ! dit-il, sainte divinité ! / Sacrés bandeaux ! autels parés pour mon supplice ! / Fer que j'ai vu briller pour l'affreux sacrifice ! """	""" Chaste Vesta ! mwabugha, bubuyirire ! /Musarandwemifungo ! buhere vuchi busana nerisimaryaghe. /Kyuma ekyonyiria langira kika kangavasania vusananduherere ovu lavirye! """
L'Angleterre, c'est un pays extraordinaire. Tandis qu'en France nous donnons à nos rues des noms de victoires : Wagram, Austerlitz..., là-bas on leur colle des noms de défaites : Trafalgar Square, Waterloo Place.	E Angletere, nikihugho ekyeri swekya. Aliw'ebufaranza thukah'esyonzira syamena awesyonzingano :  Wagram, Austerlitz..., eyo bakabahamena wabaliazingawa : Trafalgar Square, Waterloo Place.
Je suis désolé, mais je ne peux pas répondre tout de suite.	Nganyire, alhiwe sinanga subiriria hathiahathia.
Il faut chercher à éliminer les inégalités sociales.	Ngambe ithwarondia esyonzira esyeri lusyaho akasolol'omo vandu.
Vous feriez mieux d’allier votre carrière et votre vie privée.	Wangayiriya kol'omuviri waghu neribiaho ryaghu.
Je suggère que tu entames une thérapie comportementale afin de te guérir de ton obsession des virgules.	Wangana tsukir'ovuvalhia ovwe mivere yaghu mowalamia obukoni bwaghubwesikahulwamo virgules omo kifranza.
Si vous étiez resté ici, vous vous seriez beaucoup amusé.	Ngaghulhia sighala hano, wangatsangire kutsibu.
Nous nous sommes accordés sur des prix fixes pour une période de trois ans à compter de la signature du contrat.	Mothuka lhighiran'okokathalhi akalhihaghumerera omo makisothu eritsukir'ohothulhia hinir'okokipapura kweyisembo.
Si je ne meurs pas d'une crise cardiaque, je mourrais de rage.	Nyithithahol'omwikanuka, ngasyahola kilumikyambwa.
M. Parker tenta de manger avec des baguettes.	M. Parker mwalheng'erirya omo mithi.
Ma sœur est assistante d'un professeur d'université.	Mwalhi wethu nimulangire ghomukangirirya owekiyiro kikulu.
Nous sommes dans le négatif ce mois-ci. Si nous ne commençons pas à dépenser moins le mois prochain, nos économies seront épuisées.	Thulhi hatsibu oko muker'ono. Thuthethatsuka eriheriange okomukera owamasa, olumbuka lwethu lukasyavia ilwahwere.
Nous sommes ici dans une ville civilisée, et, quel que soit mon désir de livrer ces malfaiteurs à la justice, je dois néanmoins m'opposer de tout mon pouvoir à tout acte illégal.	Thulhi han'omomuyi owaviri lolhi'emulhiro, na, mohangavia eriyithagha ryethu eryeriha abibia bano oko basosi, nangana hana ekio kiamabia isikisikr'emighambo.
Cambronne à Waterloo a enterré le premier empire dans un mot où est né le second.	Cambronne na Waterloo mwakatha ovuthavalhi ovwerimbere omokinywa ekiryalwamo ekyakaviri.
L'adaptation est le secret de la survie.	Eriveghera ni kumbo esyeriviaho.
C'était une femme sauvage, étrange, qui habitait l'endroit comme une ombre, à la recherche de plantes, de racines et de petits animaux, afin de préparer des potions, des onguents, qui pouvaient guérir autant que faire mourir.	Abia ini mukalhi oghomokisutsi, oyuthasibwe, oyowawa akabuk'ahandu ngomokitsutsu, akarondia emimeya, omurihi, nesyanya mangengenge, omwisondia erihuka evirimbirimbi eviangalamia nakandi ebyangaholhia.
L'économie nationale croît à pas de géant, ces dernières années.	Ovuthunde ovwekihugho bunemweruka lhiolo lhiolo, omo myaka eno.
Je saluais les officiers.	Nabiangaramuky'abakulu bakulu.
Recule de quelques pas, s'il te plait.	Subenyuma yobika bikebike, kisi kisi.
Pour bien écrire, il faut sauter les idées intermédiaires, assez pour ne pas être ennuyeux; pas trop de peur de n'être pas entendu.	Erisakandeke, kumbe iwakiruka amalhengekania ghomokathi kathi, ukasyaluha; nerisyakwa ovuva ovwerithendiowikwa.
Le film était bon comme on ne peut l'imaginer, j'aurais voulu que tu viennes avec nous.	Ekombakithi yilwe yowene kundu kulhenga ngoko thulwe thuyi tsulhilhe, nyilwe nyanzir'iwaghenda nethu.
La société a demandé à la banque de lui prêter de l'argent pour acheter de nouvelles machines.	Abahimbani mobaka vulaya ebanji eyanga muvwek'esyosend'erivia inanganaya ghul'ebyuma nyihiaka.
Les Polonaises ne voulaient pas que Justin Bieber vienne en Pologne.	Avanya Polone babiaisibanzire Justin Bieber akasa e Pologne.
Ne me dites pas que vous ne savez pas nager !	Sighumbwire uthisiwasi eridilha !
Les dieux d'une religion en déclin deviennent les démons d'une naissante.	Esyonyamuhanga esye kisomo ekiriokwihwaho sirimuvia mirimu eyenzuko.
Quand je couche avec elle, j'ai l'impression de me taper une étoile de mer.	Omughulu nga theta naye, ngowa ngoko nabiban'engunu yomolhusi.
Le puissant séisme à Hokkaido a causé d'importants dégâts.	Omusiki owakalhire e Hokkaido mwakatsandaya ebindu binene.
Sally m'a donné suffisamment d'informations.	Sally mwakamba esyongulu nyinji.
J'aurai beau essayer, je ne serai jamais capable de le rattraper.	Nangana lhangire, sinendisya thok'erisyahambakyo.
Il lui fallait accepter son destin.	Angalhighire ebio kobyasirwe.
Elle fut obligée d'épouser le vieil homme.	Mwavia iniangathalhia omulume oyukothire kundu.
Espérons que Raphaël puisse réparer ça.	Tuvye namaha ngoko Raphaël akandiswaghombola ekyo.
Je lui passerai ce message dès qu'il arrivera.	Ngandi muha omulaghe oyo omughulu akandiasa.
Un type appelé Ethan a dit qu'il te cherchait.	 Mundu mughuma oyuka hulawamo Ethan mwakavugha athi ane mukuronda.
J'espère que cela marchera.	Nilengekenye ngoko bikandishuwana.
C'est dommage, mais ton personnage se fait tuer au début de la pièce.	 Vuhashya, omundu waghu akayitha okonzuko eye visanda.
Lord Carnarvon était un égyptologue amateur.	Lord Carnarvon abya mushipithi oghovwira.
Le programme télé semblait vraiment intéressant.	Emitheghekerer'eyevisasamira yabyanga yuwene.
Nous avons appelé le restaurant pour qu'il vienne nous livrer à domicile.	Mothuka virikir'ekiseng'ekye ririramo thuthi kisyatwend'eka.
Pour recevoir votre remboursement, veuillez renvoyer l'article non déballé.	Erihavwa omuthuhulo waghu, uthum'ekithavu ekithakingulirwe.
Je suis un peu pressé par le temps, j'ai juste le temps de sortir aller acheter des dapings et des youtiaos.	Nyihathathen'omo ndambi, nyinawithe endambi yerihuluka okwighula ehindu hikahulawamo dapings nehi youtiaos.
Chaque année, plusieurs de ces langues non écrites disparaissent sans laisser la moindre trace.	Obuli mwaka, emivughe minji eyithasakire yikabulhirana vutsira erisigha nekiminyikalo nekike.
Le hibou chasse les rats.	Ekibukulu kikatibit'okosyombukulhi.
Mme. Bruce fut la première femme pilote à voler de l'Angleterre au Japon.	Koyo. Bruce abia mufuhi owerimbere erighuluka omo kyanya mwe Angleterre erihik'e Japon.
Partout où tu iras, tu seras bienvenue.	Ahosi oho ghukeshyaya, ukasya kokivwa.
Désolé de déranger, mais ma voiture est en panne. Pourrais-tu m'aider ?	Munganyir'erikukenderya, alhiwe engurubani yaghe yikwire. Wangana ngwathikya ?
L'automne qui vient me pousse à me sentir triste.	Omughulu owekihuhania oyoakasa amandeka novulhighe.
Si attaquer l'Ukraine est si légitime, pourquoi la Russie ne le fait-elle pas officiellement en déclarant ouvertement la guerre à son voisin ?	Erithalhira ne Ukraine kyamavia ikinasivwe, busanaki e Russie siwikolakyo kilhetalhet'erilaghalaghani'amalwa ghomuhimbani wabo ?
Si je n'étais pas régulièrement fouillé à l'aéroport pour la recherche d'armes, je n'aurais plus aucune vie sexuelle.	Nganyitha kubungulawa kutsibu okokibugha ekyamakisikisa erirondia ebyumano, sinangasyabere neribyaho eryoluthetho.
Joseph ! Ramène ta fraise !	Joseph ! Suvulaya erithunda ryaghu!
Ces nouvelles l'ont rendu content.	Emyatsi eyi yaviri lheka inyavia novutseme.
La Bible ne connaît pas les bombes atomiques, les accidents de la circulation, les crises financières, la cybercriminalité, le vacarme des autos ni la pollution atmosphérique : oh ! Dieu ! quels temps paradisiaques !	Ebibilia siyasi esyombundu esikatsandaya omubiri, ebisida byomonghenda, ovunakwa, obwithi, eryaka ryesyongurubani, nikwa navandu avalhi omokyanya  : oh ! Nyamuhanga ! ndambi syahi syembyani !
Cœur sans amour toujours loyer demande.	Muthima owathemolwanzo kanzi kanzi omuvweko akavulaya.
Rien ne vaut un bon plateau de fromage accompagné d'un bon vin.	Sihalhi ekindu ekilhingene nolhungo olo bundu obulhikobwasoma.
Rien ne meurt sans qu'une créature le pleure.	Sihalhi ekithahola butsira erikihangikwa eriilira.
Marcus est devenu l'usurpateur.	Marcus aviriby'oyukayisumbir'omobithumbi byabene.
Il écoute toujours les nouvelles à la radio.	Akahulhikirira kanji kanji esyongulu okokinimba.
T'as l'air d'un cinglé avec cette cravate jaune.	Uling'omundu oyuth'owa na karvante komulhinga.
Dans un récent article à propos des activités pour préserver la jeunesse de notre cerveau, ils mentionnent l'espéranto en même temps que le Sudoku, ce qui montre que l'espéranto commence à faire partie de la culture populaire.	Omokirango ekyendulia ekilhebirye emibiri ovukakirya omusuko okovwenge vwethu, vakasaka ekiesperanto neki Sudoku, ekika kangaya ngoko ekiesperanto kiri muvia kera eyasivwe.
La folie est relative. Ça dépend de qui a enfermé qui dans quelle cage.	Erisire rikwamire. Rikakwamana nandi yulhia kindirandi omovutsunga.
Bathilde était douée d’un esprit supérieur.	Bathilde abia nomulhimu oweyighulu.
J'espère vous voir la prochaine fois que je serai à New York.	Nganza nyikusunge omobiro evikasa omughulu ngasyavia e New York.
Le beau papillon rend visite à la rose jaune et boit la rosée de ses pétales.	Ekinyabighunzu ekyowene kikayavugheni eyiri eriwa eryo mulhinga nerinywa ekime ekiri okurio.
Ne vous approchez pas du champ de force de la ville !	Sighuseghere ahalhi eririma ryakaghala komulhongo !
Tu as sorti ton pistolet et tu as tiré.	Moghuka hulukaya embundu yaghu nakandi moghukahutaya.
Si je vous ai trompée, ma douce, c'est tout au plus en ayant échangé quelques mots doux avec celles que mes yeux trouvaient jolies. Ma bouche était complice, mais mon cœur, lui, n'en savait rien.	Namabia imongakuteba, abusi bwaghe, nikutsibu eribugha ebinywa ebisihire naba ameso waghe angasungire ko nibenge. Nobuno bwaghe bunalwe omomuhothero, alhiwe omuthima waghe, iyo, isyasi kwebi.
Au début, je regardais juste les phrases françaises, mais avant que j'en prenne conscience, j'étais captivée par leur traduction.	Okonzuko, nabiangasamalir'emilondo eye kifranza, alhiw'embere nyitsomaneyo, mona kwira kutsibu nemibindulhireyayo.
Le verdict de culpabilité rendu par le jury a lancé un large débat.	Omusuyir'owalhia bughawa no musosi mwakaghusa amakania mulhi.
Vous auriez dû rejeter une proposition aussi injuste.	Wangaghusire obulhengekania ovutha luyirirene.
L'an passé, il a beaucoup plu.	Omukera owalaba, embula muyawire nyinzi.
Je t'en moque. Qu'est-ce qu'il aurait fait, mon mari, s'il ne m'avait pas eue?	Ngakutswereravio. Ekyanga kolhirwe kyekyahi, mwanziwaghe, ngakathalhia ngwathako?
Pour faire court, il a épousé son premier amour.	Eribiyira mobikuhi, mwaka thahay'omwanzi wiwe owerimbere.
Dodo, l'enfant do.	Dodo, omwana do.
Il a passé une heure dans la cabine téléphonique.	Mwakabugha sahanguma omokiseng'ekye ribirikiriramo.
Quand on baise, on pense plus clair.	Omughulu bakathetha, bakalhengekania kutsibu.
De ces armes couverts, sous un sinistre augure, / nous nous mêlons aux Grecs, et dans la nuit obscure / par une heureuse erreur nous triomphons d'abord. / Plus d'un guerrier d'Argos descend au sombre bord.	Omo ngabo esiswikire, emwisi syobulebia bobwibi, thuka tswanganana na bagriki, nomokiro kundu, omorilolo ribuya thukakunda kwanza. /Abalwi banji oko mughuma abe Argon bakakimakala okomukekethio.
Les deux victimes de la fusillade se trouvent en unité de soins intensifs dans un hôpital des environs.	Abahanya babiri abakwa omombundu ban'omomondemonde omo lupithali olwahakuhikuhi.
Nous ferons notre annonce jeudi.	Thukandi kola eryasa ryethu omosítwámínya.
J’imaginais mon avenir.	Nabiangalhekania oko nzakyayaghe.
Tatoeba désapprouve les soliloques : Tu ne reçois pas de courriel d'alerte quand tu commentes tes propres phrases. C'est dur la vie !	Tatoeba akaghana emikuro eyo mulhenge : Sighutasunga ekilope omughul'ulhiabia ukabugha okomilondo yaghu. Eribiaho rikalhire !
Ils seront attaqués s'ils expriment un point de vue original, donc ils ne prennent aucun risque.	Bakandithalirwa bamabi kania okokitondi ekyomuhungo, nibwambu si bathabya nerimia obuthokekane obo bulhigho.
"Dès qu'elle voit Priam vainement furieux, / moins couvert qu'accablé d'une armure inutile : / "" Quelle aveugle fureur, quel courage stérile ! / lui crie Hécube en pleurs. Où courez-vous ? Hélas ! """	"Omughulu akalangira Priam inyanahithene,/ inyanathimbire ko engabo nyinji eyithawithe ndundi : /""Endimethime yahi, muhwawahi oghobusa! /mwamulakira Hécube akalhira. Ukathibitha hayi ? Hélas ! """
Un léger frémissement agita ce magnifique visage et ce beau corps.	Ekatsingotsingo kake mokatsingyatsingya obusu bwiwe obuwene no mubiri wiwe oghuwene.
Dans son for intérieur, il savait bien qu'elle mentait.	Emwisi siwe, abia inyanasi kwakatheba.
Espèce de traître !	Mumbul'omú̧hişyahişya !
Les différents animaux ont commencé à dire : « Ouah, ouah ! » et « Miaou, miaou ! » et « Cocorico ! »	Eshonyama misindo misindo musyabuka eribugha sithi : « Ouah, ouah ! » ne « Miaou, miaou ! » ne « kokoriko ! »
Il a effacé son discours de la cassette.	Mwakalusay'omukaniawiwe ghomo kalhikilhiki.
En tant que première de sa classe, c'est elle qui prononça le discours de remise des diplômes.	Akabia ngowe rimbere omokisenge kiwe ekye kiyiro, yowabia abughire omukania owerihereria erip̧olóme.
Un homme qui cherchait à vous rencontrer est venu pendant que vous étiez sorti.	Omulume oyulyaronday'eri kubana mwakasa iwamabi enda.
Katie lit un journal d'économie.	Katie anemusoma ekirango ekyo bulhunde.
Pourquoi avez-vous peur de Derek ?	Busanaki mukubaha Derek?
À chaque fois que je tente d'apprendre par moi-même le C++, je me retrouve coincé avec les pointeurs.	Obulhindengo kongasonda eriyowira e C++ ngumerera, ngasungika engwithe nekikanjio.
Nul ne peut échapper à son destin.	Sihalhioyowa ngabala oko butseme buwe.
Je n'ai aucun appétit sexuel.	Singwithe ngumbu yoluthetho.
Le football est un sport excitant.	Omupira nimazoa owakakurakutsibu.
Thomas a programmé l'enregistrement de son émission préférée sur son magnétoscope.	Thomas mwakatheghekanaya eribika ekihindi kiwe ekyanzwa omokyamano kiwe ekikahulawamo magnétoscope.
Foutez le camp !	Mughende !
Vous avez arrangé le garage en bureau.	Wabiritheghekani'aheribik'engurubani mobisenge ebyerikolheramo.
La frontière est mince entre affirmation de soi et agression.	Olubibi niluke omokathikathi keriyihirahaghuma n'erilwa.
Si vous voulez être heureux, rendez quelqu'un d'autre heureux.	Mwanghabyamwanzire imwabiano butseme, uyiroghundino butseme.
Nous exécuterons évidemment consciencieusement vos ordres, vous pouvez en être sûr, Amiral en Chef Aladin.	Thukandisikya ndeke nerikwama esyo tholhi syaghu, uminyekyo uthia, mukulu Aladin.
Il boite, il marche avec des béquilles.	Akahinira, akaghendera oko lathe.
Ne vous coupez pas le doigt.	Sighuyithweko munwe.
Les Indiens étaient prêts à se mettre sur le sentier de la guerre à la moindre provocation.	Abahindi banalwe bayithekani'eriyitheka omonzira nguhi eyamalwa omwagha akanatsuka.
Miéla se mit à pleurer quand son neveu est arrivé.	Miéla mwalir'omughulu omushingisano wiwe ahika.
Eileen était une très bonne élève et elle a obtenu une bourse pour étudier à l'Université de Syracuse.	Eileen abya mwigha oyuwene namwahabw'akavang'akerisoma vuyira oko kiyiro ekye Syracuse.
Tous les animaux, sauf l'homme, savent que l'activité principale de la vie est d'en profiter.	Esyonyama syosi, erilusyak'omundu, sinasi ngok'omubiri munji oweribiaho nibanamo akabanga.
Son activité commerciale à New York fut un grand succès.	Omubiri wiwe e New-york mwahitwala.
Le dîner vient de me remonter faire coucou.	Ebyalya erithunji byamabinyebukya eriramukania.
A chaque fois que je vois le drapeau finlandais, je me rappelle du beau visage de Marika, blanc aux yeux bleus.	Omughulu ngalangira ebelhu eyabanya Finelande, ngibuk'obus'ubuwene obwa Marika, musohe okomeso namutheghule.
C'est à Arthur de sortir la poubelle.	Nibwa Arthur erihulukya ekyutho.
Tout ce que nous savons sur lui, c'est qu'il aime le fromage de chèvre. Je vous souhaite plein de succès dans votre travail, les gars !	Ebiosi ebyo thumuashiko, iryeryanz'amasabu awe mbene. Namakusunzira miyisa mibuya omomubiri wawu, balwana !
J'en parlerai avec Marty pour voir ce qu'il en pense.	Monabya ngakania kubio na Marty okwisondy'ekyobakalhengekania.
Votre pouls est-il parfois trop rapide (plus de 120 pulsations par minute) ou trop lent (Moins de 35 pulsations par minute) ?	Eripikapika rio muthima waghu rithibithire (eri laba 120 epakupaku oko ndambi nguma) kutsi bolobolo (hake kulenga makumi asathu oko kathambi) ?
Ce qui est très étonnant, chez les Asiatiques, c'est qu'ils parlent davantage les langues européennes que les langues de leurs propres voisins.	Ekikaswekaya, ewabanya Asia, ni kusangwa baka bugha kanzikanzi emibugh'eyabanya bulaya kulhengh'emibughe yoho wabo kutse yabahimbani babo.
"L'un des mythes fondateurs de cette idéologie colonialiste est un soi-disant ""droit de retour"" attribué par un dieu tribal à tous les membres de la ""tribu"" qui désirent coloniser cette terre et en chasser les habitants autochtones."	"Ekighum'oghoko bihaniriro ebyahirah'obulengekania obwa kapundio ni ""mbangwa esyerisula"" isiherw'erirmu riakasolol'oko bihanda ebya banzire ibya pundia ekithaka kino nerithibit'okondulani."
Le gouverneur fut surpris de la réponse de la commission.	Omuthabalhi mwasisira oko risabiryo ryobulhembia.
Ca semble trop beau pour être vrai.	Kikabia ngakikabia kyakwenene.
Il y a plus de fous que de sages, et dans le sage même, il y a plus de folie que de sagesse.	 Halhi abashire banji okobenge, nomobenge nibia, mulhie risire rinji okobwenge.
Ce n'est pas trop vous demander que d'arriver à l'heure en classe.	Sikubulhia binji okwikubwira nyithi uhike okokiyiro koluba.
La vie est une tragédie pour celui qui sent et une comédie pour celui qui pense.	Eribyaho niwalhinga malhigh'okoy'oyukowa movisanda okoy'oyukalhengekanaya.
""" Un accueil séducteur le retient chez Didon, / et je crains un asile accordé par Junon. / Sa haine vigilante et sa fureur active / dans de pareils moments ne sera point oisive. """	"""Erikokia eryerithebereria rikamulhemisaya ewa Didon,/ nangubaha ekikyo ekyerihabwana Junon. /Eritsuroriwe haghuma nobwaka bwiwe / okondambiyiwe syendibia mukwetsembe. """
Quiconque a volé l'argent devrait être interpellé, être obligé à le rembourser et aller en taule.	 Obulimund'ukabik'esyo sende akandi birikirwa, nakandi subulhiasyo omosindi neriya omobisenge.
Conservez une boîte de poudre à lever dans le réfrigérateur pour qu'il continue à sentir propre.	Ubik'ekikopo ekyeyisyano eyeryeryamo ekyumano ekyembeho imuyavia iyinerire.
Il n'existe pas de souffrance qu'un excellent repas ne puisse apaiser pendant une heure ou deux.	Sihalhi malhigho ngebyalhya evyowene eyanga thekania omosahanguma kuts'omwibiri.
La guerre est simple : il s'agit de transformer un morceau de fer en morceau de viande.	Amalwa olobire : nihundula ekihindi ekyekyuma mokihindi ekye nyama.
Je veux que vous sachiez combien je suis désolé.	Nyanzir'imwaminya kangahi nyiswekire.
Tu mérites d'être heureuse.	Utholere iwavya nobutseme.
Pensez-vous que vous voudriez jamais réfléchir à sortir avec moi ?	Ukalengekanaya uthiusondire iwaghenda naghe ?
Ayant des doutes quant à l'honnêteté de l'accusé, l'avis du jury semblait réservé.	Ngane nerithikathika okokwenen'eyerimutsongera, oluhande olomusosi lwabya ngasilulhi.
Hé les gars !	Hé balwana !
Le match a été annulé en raison de la forte pluie.	Akaghulughulu mokatetabya busana nembula nyingi.
Mercredi, je rencontre des clients.	Sítwámínya, ngendi hindanan'abakaghula.
Pourquoi cela leur prend-il tant de temps pour établir ma connexion Internet ?	Busanaki ekyo kikimaya ndambi nen'erisubuly'e intaneti kwe ?
La pluie ne montre aucun signe de répit.	Embula siyikangia kiminyikalo kighuma.
Tandis que certains disent que ça ne durera que quelques minutes, d'autres pressentent que ça peut durer des mois.	Okolundi luhande abandi bakabugha bathi sibibugha ndambi nyiri, nabandi bathi byanganabugh'emikera.
J'ai rêvé que j'allais nue en classe.	Mungalotha ngaghenda buthambala omokalasi.
"""À l'avenir, je ne veux plus jamais te voir ivre. Est-ce que tu m'as compris ?"" - ""Oui, mais ça aurait largement suffi si l'un de vous deux me l'avait dit."""	"""Okobiro ebikasa, sinyanzire erisya kusunga ighuthamire. Wanamanyowa ? ""-""inga, alhiwe byangayihwerera omughuma owokwiwe ngalhiambwirira."""
S'il vous plaît, avancez vers l'arrière du bus.	Kishi, lolay'enyuma syenguruvani.
J'ai failli être renversé par un camion aujourd'hui.	Mongakengetha eribindulwa nengurubani munabwire.
Les chats sont plus malins que tu ne penses.	Ehipusu nihienge kutsibu ngokosiwagaminya.
Frédéric Chopin a écrit sa première oeuvre à 7 ans.	Frédéric Chopin mwasak'ekithabu kiwe kyerimbere oko myaka irinda.
Tu auras la charge des bébés dans cette chambre.	Omokisenge kino, ukandibya nomubiri wesyomekeke.
Celle-ci est une espèce rare d'araignée qui ne vit que dans cette région.	Oghundi muhanda owathisungika owabisengula owakabya omokithathakino.
Mon pote n'aime pas les homos, il ne couche qu'avec des mecs hétéros.	Omwira waghe syalyanz'abalume abakaghotsera navandi balume.
Les méchants seront renversés et disparaîtront.	Abatsibu bakandisy'a lusibwaho, nakandi bakendisya hwa.
Elle lui a posé quelques questions, mais il a refusé de répondre.	Mwaka muvulaya amavulhio maghuma maghuma, alhiwe mwakaghana erisubirya.
Sur une page était noté une liste de numéros de téléphone.	Okokibabe kighuma kulwe kusakire esyonumero esyesimu.
Hugo a récupéré plus vite que nous avions prévu.	Hogo abirimya kutsibu kulhenga ngoko thulhia theghekanaya.
Marie fait toujours tout avec pudeur, mais c'est en fait une garce.	Marie akakola evyosi novutheghekerere, alhiwe nikalwana.
Je me suis couché à minuit et demi.	Mongaghotsera oko medinenusu eyekiro.
Elle a fait une tarte aux pommes à son mari.	Mwakah'iba wiwe ye sahani eyebitsungu.
Le paradis n'est pas sur la terre, mais il y en a des morceaux. Il y a sur la terre un paradis brisé.	Embyani siyiri okokighugho, alhiwe kuli amaghabo. Alhiwe okokithaka kulhi émbyani eyitwikire.
Aspire au calme, mais au travers de l'équilibre et non pas par l'arrêt de ton activité.	Lhindilira okomirembe, alhiwe omwilavira obulingirirane butsira erimania omubiri wawe.
"La chèvre dit à ses petits: ""Allez chercher des pierres, nous en remplirons le ventre du loup pendant qu'il dort."""	"Embene yika bwira ebyanabyayo : ""muya rondaye amabwe, thukandisulhiaghomonda yendeghetheghe omughulu yikandivya iyinetho."""
Je n'ai simplement pas voulu que vous pensiez que j'étais radin.	Sinyanzire imwaminya nganyiri ngulube.
Il alla chercher fortune ailleurs.	Mwaya rondi'ovutheke bohandi.
Hisser les formations professionnelles initiales par l'apprentissage et par la voie scolaire au rang de filières de promotion sociale, d'exigence et de haute qualité éducative.	Mwerukaye amakangirirya wekighalhima omwilavira omulenge owekiyiro okolulhengo lomuthahi owalevirie ovunyamundu, ebyolulhengo olwendatha.
Tout mortel au plaisir a dû son existence ; par lui le corps agit, le cœur sent, l'esprit pense.	Ebyosi ebikahola ekwivyaho; okwiye omuviri akakola, omuthima akowa, nobulhengekania buka kola.
Je suis venu vous demander pour votre vulve, et vous m'avez suivi pour mon pénis (poteau).	Ngabisya kubulya okovillhebiry'enzini yaghu, na moukangwama busananesulu yaghe.
Attendez une minute.	Linda hake.
