fra	swc	swc_clean
Raphaël est respecté dans la communauté des affaires parce qu'il est toujours juste et honnête dans ses rapports avec les autres.	Raphaël anaheshimiwa katika jamii ya wafanyabiashara kwa sababu yeye huwa mwadilifu na mwaminifu katika shughuli zake na wengine.	Raphaël anaheshimiwa katika jamii ya wafanyabiashara kwa sababu yeye huwa mwadilifu na mwaminifu katika shughuli zake na wengine.
Vous étiez blessés, n'est-ce pas ?	Uliumizwa, sivyo?	Uliumizwa, sivyo?
Arthur a monté la colline.	Arthur alitembea juu ya kilima.	Arthur alitembea juu ya kilima.
Ton chat me rend dingue.	Paka wako ananiendesha wazimu.	Paka wako ananiendesha wazimu.
Noble dame, dit-il, daignez me permettre d’oser déposer à vos pieds un précieux message de sa grâce, votre illustre époux.	Alisema mwanamke mzuri, niruhusu nithubutu kuweka miguuni kwako ujumbe wa thamani wa neema yake, mume wako mashuhuri.	Alisema mwanamke mzuri, niruhusu nithubutu kuweka miguuni kwako ujumbe wa thamani wa neema yake, mume wako mashuhuri.
La gloire n’est qu’une fausse monnaie contre laquelle nous sacrifions aux autres notre propre bonheur.	Utukufu ni sarafu bandia tu ambayo tunatoa furaha yetu wenyewe kwa wengine.	Utukufu ni sarafu bandia tu ambayo tunatoa furaha yetu wenyewe kwa wengine.
Comment vous êtes-vous procuré une photo de moi à poil ?	Umepataje picha yangu uchi?	Umepataje picha yangu uchi?
Elle voulait des preuves.	Alitaka uthibitisho.	Alitaka uthibitisho.
Les rats quittent le navire qui coule.	Panya wanaacha meli inayozama.	Panya wanaacha meli inayozama.
Afin de conserver l'eau tout au long de l'année, ils creusèrent, en leur pays, un réseau de canaux, long de plusieurs milliers de milles.	Ili kuhifadhi maji kwa mwaka mzima, walichimba mtandao wa mifereji nchini mwao, wenye urefu wa maili elfu kadhaa.	Ili kuhifadhi maji kwa mwaka mzima, walichimba mtandao wa mifereji nchini mwao, wenye urefu wa maili elfu kadhaa.
Je promets que je passerai le sol à la serpillère, demain matin.	Ninaahidi nitapiga sakafu kesho asubuhi.	Ninaahidi nitapiga sakafu kesho asubuhi.
Oui, vous pourriez avoir raison.	Ndio, unaweza kuwa sahihi.	Ndio, unaweza kuwa sahihi.
Louis avait l'air inquiet.	Louis alionekana kuwa na wasiwasi.	Louis alionekana kuwa na wasiwasi.
Je suis armé.	Nina silaha.	Nina silaha.
Nous devons profiter de l'occasion.	Lazima tuchukue fursa.	Lazima tuchukue fursa.
Elle est revenue rapidement.	Alirudi haraka.	Alirudi haraka.
« Cet appartement est très beau et grand : quatre pièces, cuisine et salle de bains. » « Est-il aussi vraiment calme ? »	«Nyumba hii ni nzuri sana na kubwa: vyumba vinne, jiko na bafuni.» «Yeye pia ametulia kweli?»	«Nyumba hii ni nzuri sana na kubwa: vyumba vinne, jiko na bafuni.» «Yeye pia ametulia kweli?»
Il faut tenir sa promesse.	Lazima utimize ahadi yako.	Lazima utimize ahadi yako.
Je suis officiellement en vacances.	Niko likizo rasmi.	Niko likizo rasmi.
Tenez, prenez ceci !	Hapa, chukua hii!	Hapa, chukua hii!
Entrez dans le bâtiment, montez au troisième étage et rendez-vous à la chambre 214.	Ingiza jengo, nenda kwenye ghorofa ya tatu na uende kwenye chumba 214.	Ingiza jengo, nenda kwenye ghorofa ya tatu na uende kwenye chumba 214.
Voulez-vous un plateau avec cela ?	Je! Unataka tray na hii?	Je! Unataka tray na hii?
Suis-je enceinte ?	Mi na mimba?	Mi na mimba?
Il n'y a pas d'excuse à un tel comportement.	Hakuna udhuru kwa tabia kama hiyo.	Hakuna udhuru kwa tabia kama hiyo.
Sami a hâte d'y participer.	Msami hawezi kusubiri kushiriki.	Msami hawezi kusubiri kushiriki.
L'instinct nous choisit des amis ; mais le jugement nous les conserve.	Silika hutuchagulia marafiki; lakini hukumu inatuhifadhi kwa ajili yetu.	Silika hutuchagulia marafiki; lakini hukumu inatuhifadhi kwa ajili yetu.
Rien ne peut suffire à celui qui considère comme étant peu de chose ce qui est suffisant.	Hakuna kitu kinachoweza kumtosha yule anayeona kuwa mdogo ni kile cha kutosha.	Hakuna kitu kinachoweza kumtosha yule anayeona kuwa mdogo ni kile cha kutosha.
Tu es très douée.	Unahakili sana.	Unahakili sana.
Tous les hommes aimeraient être comme Dieu, si c'était possible ; quelques-uns trouvent difficile d'en admettre l'impossibilité.	Watu wote wangependa kufanana na Mungu, ikiwa hiyo ingewezekana; wengine ni vigumu kukubali kutowezekana.	Watu wote wangependa kufanana na Mungu, ikiwa hiyo ingewezekana; wengine ni vigumu kukubali kutowezekana.
Ils m'ont obligée à ouvrir ma valise.	Walinifanya nifungue sanduku langu.	Walinifanya nifungue sanduku langu.
Penses-tu sérieusement à vendre cela sur Internet ?	Je! Umedhamiria kuuza hii kwenye wavuti?	Je! Umedhamiria kuuza hii kwenye wavuti?
Bravo a Fahim qui a eu un prix littéraire pour son œuvre écrite en kabyle.	Bravo kwa Fahim ambaye alikuwa na tuzo ya fasihi kwa kazi yake iliyoandikwa huko Kabyle.	Bravo kwa Fahim ambaye alikuwa na tuzo ya fasihi kwa kazi yake iliyoandikwa huko Kabyle.
Ne portez pas plainte.	Apana kutchongeya.	Apana kutchongeya.
Il me demande du fric tout le temps.	Ananilombaka pesa kila wakati.	Ananilombaka pesa kila wakati.
La plupart des musulmans haïssent les juifs, les chrétiens et les athées.	Waislamu wengi huwachukia Wayahudi, Wakristo na wasioamini Mungu.	Waislamu wengi huwachukia Wayahudi, Wakristo na wasioamini Mungu.
"Les gens me demandent : ""pourquoi veux-tu chérir un tas de ferraille comme ça ?"" Mais cette petite merveille veut tout dire pour moi."	Watu wananiuliza, «kwanini unataka Kupenda fungo ya tchuma kama hiyo?» Lakini ajabu hii ndogo inasema kila kitu kwangu.	Watu wananiuliza, «kwanini unataka Kupenda fungo ya tchuma kama hiyo?» Lakini ajabu hii ndogo inasema kila kitu kwangu.
Je me suis enfermé dehors.	Nimejifungia nje ya chumba changu na sina fungula.	Nimejifungia nje ya chumba changu na sina fungula.
Ils pouvaient entendre l'élégant son flottant d'une harpe, venant de quelque part.	Wangeweza kusikia sauti ya kifahari inayoelea ya kinubi, ikitoka pali moja.	Wangeweza kusikia sauti ya kifahari inayoelea ya kinubi, ikitoka pali moja.
Ne vous approchez pas du feu.	Apana kusogeya kalibu ya moto.	Apana kusogeya kalibu ya moto.
Rogron aimait la bonne chère et à se faire servir par de jolies filles.	Rogron alipenda chakula kizuri na kuhudumiwa na wasichana wazuri.	Rogron alipenda chakula kizuri na kuhudumiwa na wasichana wazuri.
Celui qui verra la fin, verra le tout.	Mwenye ataona mwisho ataona yote.	Mwenye ataona mwisho ataona yote.
Un agriculteur entre deux avocats est comme un poisson entre deux chats.	Mkulima kati ya parachichi mbili ni kama samaki kati ya mapusi wawili.	Mkulima kati ya parachichi mbili ni kama samaki kati ya mapusi wawili.
Un deux, trois, partez !	Moja, mbili, tatu, nenda!	Moja, mbili, tatu, nenda!
Surveille la porte !	Angaliya mlango!	Angaliya mlango!
Votre critique est injuste.	Kukosoa kwako sio sawa.	Kukosoa kwako sio sawa.
Nathan promit de ne jamais refaire cela.	Nathan aliahidi kutofanya hivi tena.	Nathan aliahidi kutofanya hivi tena.
Le croyez-vous honnêtement ?	Je! Unaamini kwa uaminifu?	Je! Unaamini kwa uaminifu?
Nous allons remonter la filière de ce trafic.	Tutapanda mlolongo wa trafiki hii.	Tutapanda mlolongo wa trafiki hii.
Ils m'ont bien eue.	Wamenipata vizuri.	Wamenipata vizuri.
Faites gaffe !	Angalisho!	Angalisho!
Laisse-moi t'aider à déplacer au moins la table.	Ngoja nikusaidie kusogeza meza.	Ngoja nikusaidie kusogeza meza.
Elle a raccommodé ses vieilles fringues pour qu'elles aient l'air plus à la mode.	Alitengeneza nguo zake za zamani kuzifanya zionekane za mtindo zaidi.	Alitengeneza nguo zake za zamani kuzifanya zionekane za mtindo zaidi.
Je suis une grande fan de football.	Mimi ni mupendwa mkubwa wa mpira wa mchezo yakabumbu.	Mimi ni mupendwa mkubwa wa mpira wa mchezo yakabumbu.
Elle ne l'a pas épousé de sa propre volonté.	Hakumuoa kwa mapenzi yake mwenyewe.	Hakumuoa kwa mapenzi yake mwenyewe.
Que veux-tu pour Noël Jenny ?	Unataka nini juu ya yenga ya noeli Jenny?	Unataka nini juu ya yenga ya noeli Jenny?
Ne dis pas de conneries.	Usiseme usemusemu.	Usiseme usemusemu.
À quand remonte la dernière fois où tu as quitté plus tôt ton lieu de travail ?	Mara ya mwisho uliondoka kazini kwako mapema lini?	Mara ya mwisho uliondoka kazini kwako mapema lini?
Elle a réglé ses comptes avec ceux qui l'avaient accusée.	Aliweka hesabu zake na wale waliomshtaki.	Aliweka hesabu zake na wale waliomshtaki.
Tu t'accrochais à la barre de fer.	Ulikuwa ukining'inia kwenye baa ya chuma.	Ulikuwa ukining'inia kwenye baa ya chuma.
Elle cuisina un dîner spécial pour lui.	Alimupikiya chakula ya namuna ingine.	Alimupikiya chakula ya namuna ingine.
On doit la prendre comme elle est, car elle ne changera plus.	Lazima tuichukue kama ilivyo, kwa sababu haitabadilika tena.	Lazima tuichukue kama ilivyo, kwa sababu haitabadilika tena.
Je veux voir la vidéo.	Napenda kuona video.	Napenda kuona video.
Nager, ça m'amuse.	Kuogelea, ni raha.	Kuogelea, ni raha.
Un ballon descend la rivière en flottant.	Mupila moja ilukuwa juu ya mayi.	Mupila moja ilukuwa juu ya mayi.
Il a la capacité de mener à terme de grands projets.	Ana uwezo ya kuongoza miradi makubwa.	Ana uwezo ya kuongoza miradi makubwa.
Sa méthode est bien plus évoluée que la nôtre.	Njia yake ni ya hali ya juu zaidi kuchindiya yetu.	Njia yake ni ya hali ya juu zaidi kuchindiya yetu.
Tu le jettes par la porte, il revient par la fenêtre.	Unamtupa nje ya mlango, anarudi kupitia dirishani.	Unamtupa nje ya mlango, anarudi kupitia dirishani.
Arthur est le champion en titre.	Arthur ni bingwa mtetezi.	Arthur ni bingwa mtetezi.
Ça doit être merveilleux d'observer des aurores boréales dans le ciel.	Lazima iwe ya kupendeza kuona Taa za Kaskazini angani.	Lazima iwe ya kupendeza kuona Taa za Kaskazini angani.
Je veux que tu me racontes ton voyage.	Nataka uniambie kuhusu safari yako.	Nataka uniambie kuhusu safari yako.
Rendez ce portefeuille à son propriétaire.	Rudisha ile mfuko kwa mwenyewe.	Rudisha ile mfuko kwa mwenyewe.
«Si c'est un petit entraînement, d'accord.» «Bon, est-ce qu'on autorise les coups de pied dans les testicules et l'écrasement des globes oculaires ?»	«Ikiwa ni mazoezi kidogo, sawa.» «Kwa hivyo, je, tunaruhusiwa kupiga korodani na kuponda mboni za macho?»	«Ikiwa ni mazoezi kidogo, sawa.» «Kwa hivyo, je, tunaruhusiwa kupiga korodani na kuponda mboni za macho?»
Dans l'avion, il avait une place dans le couloir.	Mu ndege, alikuwa na kiti mu balabala.	Mu ndege, alikuwa na kiti mu balabala.
Yanis aime raconter des plaisanteries à caractère sexuel.	Yanis anapenda kusemasema mambu ya utchi.	Yanis anapenda kusemasema mambu ya utchi.
Ce doit être excitant.	Lazima iwe ya kufurahisha.	Lazima iwe ya kufurahisha.
Pouvez-vous nous parler de votre expérience dans le développement de matériel technique ?	Je! Unaweza kutuambia juu ya uzoefu wako katika maendeleo ya kazi ya mkono?	Je! Unaweza kutuambia juu ya uzoefu wako katika maendeleo ya kazi ya mkono?
Vous les verrez passer.	Utawaona wakipita.	Utawaona wakipita.
Je pense que cet enregistrement est important.	Nazani kurekodi hii ni ya maana sana.	Nazani kurekodi hii ni ya maana sana.
La réaction de Nathan fut l'opposé de ce à quoi Marie s'attendait.	Jibu la Nathan lilikuwa kinyume na kile Marie alitarajia.	Jibu la Nathan lilikuwa kinyume na kile Marie alitarajia.
Que cherches-tu à prouver ?	Unajaribu kuthibitisha nini?	Unajaribu kuthibitisha nini?
Il compara la copie à l'original.	Alilinganisha nakala hiyo na ile ya asili.	Alilinganisha nakala hiyo na ile ya asili.
Je m'appelle Laura.	Jina langu ni Laura.	Jina langu ni Laura.
C'est tant pis pour vous.	Mbaya sana kwako.	Mbaya sana kwako.
Je me trouverai dans l'autre pièce.	Nitakuwa kwenye chumba kingine.	Nitakuwa kwenye chumba kingine.
Un ami doit savoir te conseiller.	Rafiki lazima ajue namna ya kukushauri.	Rafiki lazima ajue namna ya kukushauri.
Sentez ça ! C'est vraiment doux.	Sikia! Ni tamu kweli.	Sikia! Ni tamu kweli.
Il a couru comme un lapin effrayé.	Alikimbia kama sungura aliogopa.	Alikimbia kama sungura aliogopa.
Je n'en peux plus de combattre.	Siwezi kuchukua vita tena.	Siwezi kuchukua vita tena.
J’étais tellement à la ramasse ce matin que j’ai oublié de remettre le capuchon de ma brosse à dent.	Nilikuwa na mambo mingi kuichukua asubuhi ya leo hivi kwamba nilisahau kuweka kofia kwenye mswaki yangu.	Nilikuwa na mambo mingi kuichukua asubuhi ya leo hivi kwamba nilisahau kuweka kofia kwenye mswaki yangu.
Coupez le Gouda en petits cubes.	Kata Gouda kwenye cubes ndogo.	Kata Gouda kwenye cubes ndogo.
Les philosophes chinois voient dans ce livre une œuvre majeur de la philosophie classique, une source inépuisable de connaissances.	Wanafalsafa wa China wanaona katika kitabu hiki kazi kuu ya falsafa ya kitabia, chanzo kisichoisha cha maarifa.	Wanafalsafa wa China wanaona katika kitabu hiki kazi kuu ya falsafa ya kitabia, chanzo kisichoisha cha maarifa.
Je dois vous détruire.	Lazima nikuharibishe.	Lazima nikuharibishe.
Je reviendrai pour vous.	Nitarudi kwaajili yenu	Nitarudi kwaajili yenu
J'ai ramené un échantillon d'urine.	Nikarudisha sampuli ya mkojo.	Nikarudisha sampuli ya mkojo.
Macha ne connaissait pas ses parents.	Masha hakuwajua wazazi wake.	Masha hakuwajua wazazi wake.
Il s'est retrouvé gros-Jean, comme devant.	Alijikuta mkubwa-Jean, kama hapo awali.	Alijikuta mkubwa-Jean, kama hapo awali.
Je dois te rappeler ta promesse.	Lazima nikukumbushe ahadi yako.	Lazima nikukumbushe ahadi yako.
Tu ne peux pas simplement laisser ta voiture devant la bouche d'incendie.	Huwezi kuacha gari lako mbele ya bomba la moto.	Huwezi kuacha gari lako mbele ya bomba la moto.
C'est votre ex.	Ni ex wako wa zamani.	Ni ex wako wa zamani.
Ne mets pas ces documents à la poubelle !	Usiweke hati hizi kwenye takataka!	Usiweke hati hizi kwenye takataka!
Puis-je vous prier à danser ?	Je! Ninaweza kukuomba ucheze?	Je! Ninaweza kukuomba ucheze?
Il fut assez aimable pour m'offrir sa place.	Alikuwa naupendo kwa kunipa nafasi yake.	Alikuwa naupendo kwa kunipa nafasi yake.
Les cheveux de ma sœur lui arrivent aux épaules.	Nywele za dada yangu hufikia mabega.	Nywele za dada yangu hufikia mabega.
Debbie, ton école est à coté ?	Debbie, masomo yako iko karibu?	Debbie, masomo yako iko karibu?
Mon père s'enorgueillit du fait qu'il n'a jamais été impliqué dans un accident de la circulation.	Baba yangu anavuma sababu aya patikanaka mu ajali mu jiya.	Baba yangu anavuma sababu aya patikanaka mu ajali mu jiya.
Utilisez vos propres mots pour répéter le contenu du cours.	Tumia maneno yako mwenyewe kurudia yaliyomo kwenye kozi.	Tumia maneno yako mwenyewe kurudia yaliyomo kwenye kozi.
Elle a prié que sa mère veuille bien la pardonner.	Aliomba kwamba mama yake amsamehe.	Aliomba kwamba mama yake amsamehe.
Une nation qui annihile toutes les nations et cultures indigènes de deux continents entiers, l'Amérique du Nord et l'Australie, puis lâche deux bombes nucléaires sur une île densément peuplée, serait crainte même par les extra-terrestres.	Taifa ambalo linaangamiza mataifa na tamaduni asilia za mabara yote mawili, Amerika Kaskazini na Australia, na kisha chenye watu wengi, itaogopwa hata na wengi.	Taifa ambalo linaangamiza mataifa na tamaduni asilia za mabara yote mawili, Amerika Kaskazini na Australia, na kisha chenye watu wengi, itaogopwa hata na wengi.
Mademoiselle Levert est notre professeur de musique.	Mademoiselle Levert ni mwalimu wetu wa muziki.	Mademoiselle Levert ni mwalimu wetu wa muziki.
Il parle, et ses mots ont un débit doux et agréable.	Anaongea, na maneno yake hutiririka vizuri na kwa kupendeza.	Anaongea, na maneno yake hutiririka vizuri na kwa kupendeza.
Si ma vie se cantonne uniquement à la culture coréenne, je suis pauvre d’expériences.	Ikiwa maisha yangu yamefungwa tu na tamaduni ya Kikorea, nina uzoefu mdogo.	Ikiwa maisha yangu yamefungwa tu na tamaduni ya Kikorea, nina uzoefu mdogo.
La flotte de pêche japonaise capture chaque année plus de mille baleines sous prétexte de recherche scientifique.	Meli za uvuvi za Japani huvua nyangumi zaidi ya elfu moja kila mwaka kwa kisingizio cha utafiti wa kisayansi.	Meli za uvuvi za Japani huvua nyangumi zaidi ya elfu moja kila mwaka kwa kisingizio cha utafiti wa kisayansi.
Je croyais que Kylia voulait t'épouser.	Nilidhani Kylia anataka kukuoa.	Nilidhani Kylia anataka kukuoa.
Où ai-je donc laissé traîner mes lunettes ?	Niliacha glasi zangu zikiwa wapi?	Niliacha glasi zangu zikiwa wapi?
"On dit quelquefois : ""Le sens commun est fort rare."""	Wakati mwingine tunasema: «Akili ya kawaida ni nadra sana.»	Wakati mwingine tunasema: «Akili ya kawaida ni nadra sana.»
Il se pourrait que je puisse arranger cela.	Ninaweza kurekebisha hiyo.	Ninaweza kurekebisha hiyo.
J'ai proposé un autre projet à la commission.	Nilipendekeza mradi mwingine kwa kamati.	Nilipendekeza mradi mwingine kwa kamati.
Je souhaite que tu restes ici.	Natamani ungekaa hapa.	Natamani ungekaa hapa.
Ces hommes sont les gens les plus sages de la tribu.	Wanaume hawa ndio watu wenye busara zaidi katika kabila.	Wanaume hawa ndio watu wenye busara zaidi katika kabila.
Sont-ce là les seules que vous ayez ?	Je! Hizi ndio pekee unazo?	Je! Hizi ndio pekee unazo?
Où se trouve le bureau d'accueil et d'information touristique ?	Iko wapi ofisi ya mapokezi na habari za watalii?	Iko wapi ofisi ya mapokezi na habari za watalii?
Une manière fréquente de démontrer une proposition mathématique est le raisonnement par l'absurde. On part de l'inverse logique de la proposition à démontrer et on le conduit jusqu'à l'absurde.	Njia ya mara kwa mara ya kuonyesha pendekezo la hisabati ni hoja kwa ujinga. Tunaanza kutoka kwa mantiki inverse ya pendekezo kuonyeshwa na tunaiongoza kwa upuuzi.	Njia ya mara kwa mara ya kuonyesha pendekezo la hisabati ni hoja kwa ujinga. Tunaanza kutoka kwa mantiki inverse ya pendekezo kuonyeshwa na tunaiongoza kwa upuuzi.
Il saute d'un endroit à l'autre.	Anaruka kutoka sehemu kwa mahali.	Anaruka kutoka sehemu kwa mahali.
Tu trouves pas que Tom et John se ressemblent ?	Je! Haufikiri Tom na John wanafanana?	Je! Haufikiri Tom na John wanafanana?
La bougie que Frantz avait laissée dans sa chambre brûlait encore.	Mshumaa aliokuwa ameuacha Frantz katika chumba chake ulikuwa ukiwaka bado.	Mshumaa aliokuwa ameuacha Frantz katika chumba chake ulikuwa ukiwaka bado.
Continuez à courir.	Endelea kukimbia.	Endelea kukimbia.
J'aime ton prénom.	Napenda jina lako.	Napenda jina lako.
Je pense que nous devrions tenter le coup.	Nadhani tunapaswa kuipiga risasi.	Nadhani tunapaswa kuipiga risasi.
La bourse est un jeu qui peut vous transformer un Hardy en Laurel.	Soko la hisa ni mchezo ambao unaweza kukugeuza kutoka Hardy hadi Laurel.	Soko la hisa ni mchezo ambao unaweza kukugeuza kutoka Hardy hadi Laurel.
Ma liaison Internet a été coupée.	Muunganisho wangu wa mtandao umekatwa.	Muunganisho wangu wa mtandao umekatwa.
Il vous regardait sans cesse. N'avez-vous pas remarqué ?	Alikuwa akikutazama kila wakati. Je! Haujaona?	Alikuwa akikutazama kila wakati. Je! Haujaona?
Cette zone de la bibliothèque est fermée au public.	Eneo hili la maktaba limefungwa kwa umma.	Eneo hili la maktaba limefungwa kwa umma.
Essaie d'incliner l'antenne afin d'améliorer la réception.	Jaribu kutega antena kuboresha mapokezi.	Jaribu kutega antena kuboresha mapokezi.
Et maintenant que doit-il faire à celle que le sort lui a réservé, pour qu’elle le considère à sa juste valeur ?	Na sasa ni lazima afanye nini kwa yule ambaye hatima imemtengea, ili amuone kwa thamani yake nzuri?	Na sasa ni lazima afanye nini kwa yule ambaye hatima imemtengea, ili amuone kwa thamani yake nzuri?
Je veux juste que tu saches que je ne te crois pas.	Nataka tu ujue kuwa sikuamini.	Nataka tu ujue kuwa sikuamini.
Vous faisiez le ménage.	Ulikuwa ukifanya usafi.	Ulikuwa ukifanya usafi.
Ne sois pas si négatif tout le temps.	Usiwe mbaya kila wakati.	Usiwe mbaya kila wakati.
Il faut que ça dégage.	Lazima iwe wazi.	Lazima iwe wazi.
Allons quelque part ce soir, OK ?	Twende mahali hapa usiku wa leo, sawa?	Twende mahali hapa usiku wa leo, sawa?
Je te souhaite un joyeux anniversaire, avec retard !	Nakutakia siku njema ya kuzaliwa, marehemu!	Nakutakia siku njema ya kuzaliwa, marehemu!
J'ai juré que je ne ferais jamais ça.	Niliapa kuwa sitafanya hivyo kamwe.	Niliapa kuwa sitafanya hivyo kamwe.
Trouvez les homophones.	Pata homophones.	Pata homophones.
Je ne demande pas un fardeau moins lourd, mais des épaules plus larges.	Siombi mzigo mzito kidogo, lakini mabega mapana.	Siombi mzigo mzito kidogo, lakini mabega mapana.
Avancez à l'intérieur.	Tembea ndani.	Tembea ndani.
Moi-même je peux témoigner que c'est véridique.	Mimi mwenyewe naweza kushuhudia kuwa ni kweli.	Mimi mwenyewe naweza kushuhudia kuwa ni kweli.
Vous êtes sur la bonne piste.	Uko kwenye njia sahihi.	Uko kwenye njia sahihi.
« Dis voir quelque chose en français ! » - « Que dois-je donc dire ? » - « Bah, n'importe quoi ! »	«Sema uone kitu kwa Kifaransa!» «- Niseme nini basi?» - «Bah, chochote!»	«Sema uone kitu kwa Kifaransa!» «- Niseme nini basi?» - «Bah, chochote!»
Je crierais très fort si je voyais un scorpion dans ma chambre.	Napenda kupiga kelele kwa nguvu ikiwa ningeona nge katika chumba changu.	Napenda kupiga kelele kwa nguvu ikiwa ningeona nge katika chumba changu.
Je vois que tu travailles.	Naona unafanya kazi.	Naona unafanya kazi.
Aujourd'hui, maman a préparé une tarte aux abricots.	Leo mama alitengeneza pai ya parachichi.	Leo mama alitengeneza pai ya parachichi.
On nomme poudre de perlimpinpin un remède prétendument miraculeux mais qui ne présente aucune efficacité.	Tunaita poda ya perlimpine dawa inayodaiwa kuwa ya miujiza lakini ambayo haina ufanisi.	Tunaita poda ya perlimpine dawa inayodaiwa kuwa ya miujiza lakini ambayo haina ufanisi.
La nouvelle salle est un pur objet d'exposition. L'ouvrage n'est en fait plus au goût du jour.	Chumba kipya ni kitu safi cha maonyesho. Kitabu hicho kwa kweli hakiko tena hadi sasa.	Chumba kipya ni kitu safi cha maonyesho. Kitabu hicho kwa kweli hakiko tena hadi sasa.
J'imagine de filer !	Ninafikiria kuzunguka!	Ninafikiria kuzunguka!
Ne mettez pas vos affaires sur la table à manger.	Usiweke vitu vyako kwenye meza ya kula.	Usiweke vitu vyako kwenye meza ya kula.
Sauve qui peut !	Kimbia kwa maisha yako!	Kimbia kwa maisha yako!
Préparer une pièce pour la peinture est l'étape la plus importante du processus.	Kuandaa chumba cha uchoraji ni hatua muhimu zaidi katika mchakato.	Kuandaa chumba cha uchoraji ni hatua muhimu zaidi katika mchakato.
Les médecins examinent mon estomac.	Madaktari wanachunguza tumbo langu.	Madaktari wanachunguza tumbo langu.
Je vais te couvrir.	Nitakufunika.	Nitakufunika.
On peut apprivoiser des ours et d'autres animaux sauvages, pourquoi pas aussi de méchants valets ?	Tunaweza kufuga dubu na wanyama wengine wa porini, kwa nini sio watumishi wabaya?	Tunaweza kufuga dubu na wanyama wengine wa porini, kwa nini sio watumishi wabaya?
Dima a couché avec 25 hommes en une seule nuit et les a tués après.	Dima alilala na wanaume 25 katika usiku mmoja na kuwaua baadaye.	Dima alilala na wanaume 25 katika usiku mmoja na kuwaua baadaye.
Disons simplement non !	Wacha tu tuseme hapana!	Wacha tu tuseme hapana!
Tu vas rater le train.	Utakosa gari moshi.	Utakosa gari moshi.
Je n'avais aucune idée claire sur la question.	Sikuwa na wazo wazi juu ya jambo hilo.	Sikuwa na wazo wazi juu ya jambo hilo.
Il a perdu les numéros de téléphone de ses amis.	Amepoteza namba za simu za marafiki zake.	Amepoteza namba za simu za marafiki zake.
Il a récupéré la situation.	Alipata hali hiyo.	Alipata hali hiyo.
En un sens, la vie est cruelle. Elle garde en réserve des problèmes majeurs pour chacun d'entre nous.	Kwa njia fulani, maisha ni ya kikatili. Anaweka shida kubwa kwa kila mmoja wetu.	Kwa njia fulani, maisha ni ya kikatili. Anaweka shida kubwa kwa kila mmoja wetu.
Brûler une chandelle par les deux bouts réduit bientôt en cire la chandelle, tout comme pour un dragueur ayant une belle jeune fille à chaque bras.	Kuungua mshumaa katika miisho yote hivi karibuni hubadilisha mshumaa kuwa nta, kama vile kucheza kimapenzi na msichana mzuri kila mkono.	Kuungua mshumaa katika miisho yote hivi karibuni hubadilisha mshumaa kuwa nta, kama vile kucheza kimapenzi na msichana mzuri kila mkono.
L'après-midi, nous avons mangé des rouleaux de chou farcis aux fèves de soja germées.	Mchana, tulikula safu za kabichi zilizojazwa na maharagwe ya soya yaliyopandwa.	Mchana, tulikula safu za kabichi zilizojazwa na maharagwe ya soya yaliyopandwa.
Fais attention, ne réveille pas Enzo.	Kuwa mwangalifu, usimwamshe Enzo.	Kuwa mwangalifu, usimwamshe Enzo.
Je vous remercie de m'avoir rappelé par courriel qu'en ce 26 juillet 2012, les espérantophones fêtaient les 125 ans de la Langue Internationale.	Asante kwa kunikumbusha kwa barua pepe kwamba mnamo Julai 26, 2012, wasemaji wa Kiesperanto walikuwa wakisherehekea miaka 125 ya Lugha ya Kimataifa.	Asante kwa kunikumbusha kwa barua pepe kwamba mnamo Julai 26, 2012, wasemaji wa Kiesperanto walikuwa wakisherehekea miaka 125 ya Lugha ya Kimataifa.
Ouvrez Mozilla Firefox.	Fungua Mozilla Firefox.	Fungua Mozilla Firefox.
Je connaissais chacun de ces types.	Nilijua kila mmoja wa hawa watu.	Nilijua kila mmoja wa hawa watu.
Carol habite à Chicago.	Carol anaishi Chicago.	Carol anaishi Chicago.
Si vous pouviez venir, je serais vraiment heureux.	Ikiwa ungeweza kuja, ningefurahi sana.	Ikiwa ungeweza kuja, ningefurahi sana.
J'ai décidé de poursuivre ce travail.	Niliamua kuendelea na kazi hii.	Niliamua kuendelea na kazi hii.
Kylia est en vacances, il va enfin pouvoir se lâcher.	Kylia yuko likizo, mwishowe ataweza kuachilia.	Kylia yuko likizo, mwishowe ataweza kuachilia.
Alors, c'est une solution ad hoc - bonne en pratique mais théoriquement faible.	Kwa hivyo hii ni suluhisho la muda - nzuri kwa mazoezi lakini nadharia dhaifu.	Kwa hivyo hii ni suluhisho la muda - nzuri kwa mazoezi lakini nadharia dhaifu.
Je veux simplement que vous pensiez à moi de temps à autre.	Nataka tu unifikirie mara moja kwa wakati.	Nataka tu unifikirie mara moja kwa wakati.
Il s'agit du bouton d'éjection. N'y touchez pas !	Hii ndio kitufe cha kutolewa. Usiguse!	Hii ndio kitufe cha kutolewa. Usiguse!
Évidemment que je fais une crise de nerfs !	Kwa wazi nina shida ya neva!	Kwa wazi nina shida ya neva!
