fra	swc	swc_clean
"Peux-tu m'expliquer ceci ?"" ""Il n'y a rien à expliquer. Ce sont les ordres et nous devons les suivre."	Unaweza kunifasiria iyi?» «Hakuna kitu ya kufasiria. Ni maagizo na tunapashwa kuya fatilia.	Unaweza kunifasiria iyi?» «Hakuna kitu ya kufasiria. Ni maagizo na tunapashwa kuya fatilia.
Comme maman renarde attendait, inquiète, le retour de son petit en frémissant d’impatience, elle fut si heureuse lorsqu’il arriva qu’elle eut envie de pleurer et lui fit un gros câlin.	Kama vile mama renarde alikuwa na ngoja, na wasi wasi, kurudi kwa mdogo aki tetemeka bila uvumilivu, alikuwa na furaha sana wakati alifika mbaka akakuwa na nia ya kulia na aka mkumbatiya sana.	Kama vile mama renarde alikuwa na ngoja, na wasi wasi, kurudi kwa mdogo aki tetemeka bila uvumilivu, alikuwa na furaha sana wakati alifika mbaka akakuwa na nia ya kulia na aka mkumbatiya sana.
J'ai apporté les bonnes réponses aux questions.	Nili leta ma jibu za kweli kwa ma swali hizo.	Nili leta ma jibu za kweli kwa ma swali hizo.
On utilise les pointillés pour le modèle, et les traits continus pour la réalité.	Nukta zina tumiwa kwa mfano na uambatanisho una endelea kwa ukweli.	Nukta zina tumiwa kwa mfano na uambatanisho una endelea kwa ukweli.
Nous ne comprenons pas que vous puissiez encore chercher pourquoi Bernadette Dejeu a été tuée.	Hatu elewi kwanini unaendelea kutafuta kwa nini baliuwa Bernadette Dejeu.	Hatu elewi kwanini unaendelea kutafuta kwa nini baliuwa Bernadette Dejeu.
Je peux parfaitement gérer une classe de soixante élèves.	Naweza kuongoza vizuri somo la wanafunzi makumi sita.	Naweza kuongoza vizuri somo la wanafunzi makumi sita.
Ça m'a coûté 50 dollars pour réparer ma montre.	Ili ni lazimisha kulipa dolla 50 ku tengeneza saa yangu.	Ili ni lazimisha kulipa dolla 50 ku tengeneza saa yangu.
Il y a eu de nombreux meurtres, l'année passée.	Kulikuwa mauwaji mengi, mwaka ulio pita.	Kulikuwa mauwaji mengi, mwaka ulio pita.
Les seules traces de doigt que la police a trouvé sur la poignée de porte étaient de Kylia.	Maonyesho ya vidole ambayo polisi alipata kwa mlango ilikuwa ya Kylia.	Maonyesho ya vidole ambayo polisi alipata kwa mlango ilikuwa ya Kylia.
Les deux pays partagent 500 km de frontière.	Inchi hizo mbili zina gawanya mpaka wa kilometa 500.	Inchi hizo mbili zina gawanya mpaka wa kilometa 500.
Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.	Najuwa wengi kati yenu wa nataka kurudisha mambo kama iliviyo kwa lakini haito fikia.	Najuwa wengi kati yenu wa nataka kurudisha mambo kama iliviyo kwa lakini haito fikia.
Les médecins recommandent des médicaments pour combattre les maladies.	Wa ganga wana omba ma dawa kwa kupiganisha ugonjwa.	Wa ganga wana omba ma dawa kwa kupiganisha ugonjwa.
Dan est un shérif adjoint à la retraite.	Dani ni msaidizi wa naibu mstaafu.	Dani ni msaidizi wa naibu mstaafu.
Ça reviendra moins cher sur le long terme de faire table rase du système existant et de tout refaire nous-mêmes.	Itakuwa rahisi katika kipindi kirefu kufanya kufagia safi kwa mfumo uliopo na kupanga tena kila kitu sisi wenyewe.	Itakuwa rahisi katika kipindi kirefu kufanya kufagia safi kwa mfumo uliopo na kupanga tena kila kitu sisi wenyewe.
Ne bouge pas ou je te tue.	Usi tungizike ao ni ku uwe.	Usi tungizike ao ni ku uwe.
Plus je me connais moi-même, plus ma vie devient claire.	Zaidi nina vio ji juwa, zaidi maisha yangu ina kuwa wazi.	Zaidi nina vio ji juwa, zaidi maisha yangu ina kuwa wazi.
J'ouvre la porte et je vois deux garçons qui se tiennent côte à côte.	Na fungua mlango naona vijana wa wili wakiwa ngambo na ngambo.	Na fungua mlango naona vijana wa wili wakiwa ngambo na ngambo.
Les roses se fanèrent et Annie pleura beaucoup.	awaridi(rosi) ika zikazimika na Annie akalia sana.	awaridi(rosi) ika zikazimika na Annie akalia sana.
Mon opinion correspond à peu près à la tienne.	Maoni yangu ina ambatana kamavile na ya kwako.	Maoni yangu ina ambatana kamavile na ya kwako.
C'est l'un des plus beaux mecs que j'ai jamais vus.	Ni moja wa vijana warembo sija wahi kuona.	Ni moja wa vijana warembo sija wahi kuona.
Perdu dans mes pensées, j'ai raté mon arrêt.	Nilikuwa nikipotea ndani ya mawazo yangu, mbaka nika tambuka kwenye minapashwa shimamia.	Nilikuwa nikipotea ndani ya mawazo yangu, mbaka nika tambuka kwenye minapashwa shimamia.
Pendant les nuits d'insomnie, ta venue, je l'espère.	Wakati wa kulala bila kulala, kuja kwako, natumaini	Wakati wa kulala bila kulala, kuja kwako, natumaini
Tommy ne sut pas répondre au dernier problème.	Tommy hakujuwa ku jibu ku shida ya mwisho.	Tommy hakujuwa ku jibu ku shida ya mwisho.
"Ouvrez une image et choisissez une disposition d'image. Cliquez sur ""Ouvrir"" pour ouvrir une image. Cliquez sur ""Quitter"" pour quitter l'application. La fonction ""Disposition d'image"" vous permet de visualiser dans n'importe quelle disposition."	"Fungua picha moja na uchague mpangilio wa picha. Finyanga ku ""Fungua"" kwa kufungua picha moja. Finyanga ku ""Toka"" kwa kutoka ndani ya application. Kazi ""mpangilio wa picha"" una kusaidiya ku tazama kindani kila mpangilio."	"Fungua picha moja na uchague mpangilio wa picha. Finyanga ku ""Fungua"" kwa kufungua picha moja. Finyanga ku ""Toka"" kwa kutoka ndani ya application. Kazi ""mpangilio wa picha"" una kusaidiya ku tazama kindani kila mpangilio."
Va chercher la caméra.	Wende kutafuta camera.	Wende kutafuta camera.
Maintenant que vous en parlez, qu'est-il arrivé à cet homme qui travaillait ici ?	Kwa sababu una ya ongelea sasa, nini ambayo ili tokea kwa mwanaume ambaye alikuwa na tumika hapa?	Kwa sababu una ya ongelea sasa, nini ambayo ili tokea kwa mwanaume ambaye alikuwa na tumika hapa?
Quand c'est l'anniversaire d'un membre de la classe, l'enseignante dessine toujours un drapeau sur le tableau.	Waki ni siku kuu ya kuzaliwa ya memba wa darasa, mwalimu ana chapa kila wakati bendera ubaoni.	Waki ni siku kuu ya kuzaliwa ya memba wa darasa, mwalimu ana chapa kila wakati bendera ubaoni.
Ce foutu ordinateur ne marche pas.	Hii jinga la kompyuta hai tumiki.	Hii jinga la kompyuta hai tumiki.
Si vous avez l'intention de rester en contact, demandez-lui ses coordonnées.	Kama una tarajia ku endelea mawasiliano na yeye, mwambie apuke namba zake za mawasiliano.	Kama una tarajia ku endelea mawasiliano na yeye, mwambie apuke namba zake za mawasiliano.
Si je n'écris pas pour me vider l'esprit, je deviens fou.	Kama siandiki na kusafisha akili yangu, na kuwa na wazimu.	Kama siandiki na kusafisha akili yangu, na kuwa na wazimu.
La littérature est une affaire sérieuse pour un pays, elle est, au bout du compte, son visage.	Fasihi ni jambo kubwa kwa nchi, hatimaye, uso wake.	Fasihi ni jambo kubwa kwa nchi, hatimaye, uso wake.
Est-ce ce que vous voulez que je dise ?	Ulikuwa na mwambia nini?	Ulikuwa na mwambia nini?
Carl semblait très heureux.	Carl ana fanana kuwa na furaha sana.	Carl ana fanana kuwa na furaha sana.
Quand il est question de créer de nouveaux contacts, Jérôme trouve ça difficile.	Wakati ina kuwa swali laku tafuta mawasiliano mapia, Jérome ana ona hiyo ni vigumu.	Wakati ina kuwa swali laku tafuta mawasiliano mapia, Jérome ana ona hiyo ni vigumu.
Le braquage de banque est souvent utilisé par les groupes armés comme un moyen pour obtenir de l'argent.	Wizi wa banki ina fanyika zaidi na vikundi vya waasi kama mbinu sahihi yakupata pesa.	Wizi wa banki ina fanyika zaidi na vikundi vya waasi kama mbinu sahihi yakupata pesa.
Le sport qui occupe la première place dans le monde, c’est sans le moindre doute le football.	Mchezo ambao una chukuwa na fasi ya kwanza duniani, bila shaka ni kabumbu.	Mchezo ambao una chukuwa na fasi ya kwanza duniani, bila shaka ni kabumbu.
Je classe sa musique comme du rock.	Na panga mziki wake kama vile mwamba(rock).	Na panga mziki wake kama vile mwamba(rock).
Les analystes parlent déjà d'une possible «fusion du coeur de la livre».	Wachambuzi tayari wanazungumza juu ya «kuyeyuka kwa moyo wa kitabu».	Wachambuzi tayari wanazungumza juu ya «kuyeyuka kwa moyo wa kitabu».
Un homme a failli mourir en Californie après avoir tenté de poser pour un selfie avec un serpent à sonnette.	Mwanaume alitaka kufa ndani ya California baada kutaka ku kamata selfie na joka wa kengele.	Mwanaume alitaka kufa ndani ya California baada kutaka ku kamata selfie na joka wa kengele.
Reviens de suite, s'il te plait.	Rudi mara moja, Tafadhali.	Rudi mara moja, Tafadhali.
Arthur a le rôle du méchant.	Arthur ana jukumu la mkali.	Arthur ana jukumu la mkali.
Ah ! ma chère miss, je serais heureuse de vous voir devenir la femme d'un bon fermier et être une de nos voisines.	Ah! dada mpendwa, ni tafurahi ku kuona unageuka mke wa mkulima mzuri na kuwa moja wa jirani zetu.	Ah! dada mpendwa, ni tafurahi ku kuona unageuka mke wa mkulima mzuri na kuwa moja wa jirani zetu.
En France, ce ne sont pas les couilles que l'on coupe mais la tête.	Ufaransa, si mapumbu ndio wana kata ila ni kichwa.	Ufaransa, si mapumbu ndio wana kata ila ni kichwa.
L'individu est le produit et le producteur de la culture.	Mutu ni matayarisho na mtayarishaji wa uthamaduni.	Mutu ni matayarisho na mtayarishaji wa uthamaduni.
L'amitié, mon ange, ignore les banqueroutes du sentiment et les faillites du plaisir. Après avoir donné plus qu'il n'a, l'amour finit par donner moins qu'il ne reçoit.	Urafiki, malikia wangu, wapuuze kufilisika kwa hisia na kufilisika kwa raha Kisha kupana kushinda yenye anayo, mwisho wa mapenzi ni kupana kidogo zaidi ya ambayo anapata.	Urafiki, malikia wangu, wapuuze kufilisika kwa hisia na kufilisika kwa raha Kisha kupana kushinda yenye anayo, mwisho wa mapenzi ni kupana kidogo zaidi ya ambayo anapata.
Certains événements de mon enfance sont très clairs, d'autres, en revanche, ne sont qu'un vague souvenir.	Matokeo zimoyai zilipo kuwa wakati ya utoto yangu ziko wazi, ila yengine, ni ku kumbuka tu bitu bienye habi eleweki.	Matokeo zimoyai zilipo kuwa wakati ya utoto yangu ziko wazi, ila yengine, ni ku kumbuka tu bitu bienye habi eleweki.
Un million de migrants sont entrés en Europe en 2015. Il s'agit d'un record depuis la Seconde guerre mondiale.	Milioni moja ya wa hamiaji wali ingiya Europa mwaka 2015. Ni recodi tangu vita ya pili ya kidunia.	Milioni moja ya wa hamiaji wali ingiya Europa mwaka 2015. Ni recodi tangu vita ya pili ya kidunia.
Je regrette qu'un engagement préalable m'empêche d'accepter votre aimable invitation.	Ninajuta kwamba ushiriki wa awali unanizuia kukubali mwaliko wako wa fadhili.	Ninajuta kwamba ushiriki wa awali unanizuia kukubali mwaliko wako wa fadhili.
Ils ont rendu hommage à Johnny Hallyday.	Wali ushuru Johnny Hallyday.	Wali ushuru Johnny Hallyday.
Quand il vit Jésus passer, il dit...	Wakati alikuwa na ishi, Yesu ali pita, aka sema...	Wakati alikuwa na ishi, Yesu ali pita, aka sema...
Il marmonnait encore quelque chose concernant les hôpitaux à la fin de la fête, quand il a glissé sur un morceau de glace et s'est brisé la jambe gauche.	Ali papaika tena kuhusu ma hospitali mwisho wa kichwa, wakati alikuwa na taka ku chukuwa kipande cha barafu na aka ji vunja mguu wa kushoto.	Ali papaika tena kuhusu ma hospitali mwisho wa kichwa, wakati alikuwa na taka ku chukuwa kipande cha barafu na aka ji vunja mguu wa kushoto.
À droite se trouve un champ d'orge, tandis qu'à gauche se trouve un champ de blé.	Pande wa kuume kuna chamba la nafaka wakati kushoto kuna patikana chamba la ngano.	Pande wa kuume kuna chamba la nafaka wakati kushoto kuna patikana chamba la ngano.
Le procureur m'appela également en tant que témoin.	Wakili aka niita pia kama vile shaidi.	Wakili aka niita pia kama vile shaidi.
Le premier symptôme de l'acculturation est de penser que la langue de l'autre est plus cool. La conclusion inévitable est la disparition de ta langue.	Dalili ya kwanza ya kuzidisha ni kufikiria kuwa lugha ya mwingine ni baridi. Hitimisho lisiloweza kuepukika ni kutoweka kwa ulimi wako.	Dalili ya kwanza ya kuzidisha ni kufikiria kuwa lugha ya mwingine ni baridi. Hitimisho lisiloweza kuepukika ni kutoweka kwa ulimi wako.
Es-tu sûre de ne pas vouloir attendre jusqu'à demain ?	Una uhakika hautaki kungojea hadi kesho?	Una uhakika hautaki kungojea hadi kesho?
Faites-moi confiance : la réponse à cette question, je ne la connais pas, mais j'y réfléchis.	Niamini: Sijui jibu la swali hili, lakini niko nafikiria juu yake.	Niamini: Sijui jibu la swali hili, lakini niko nafikiria juu yake.
Les fiançailles de M. Rogers et de Mlle. Smith ont été annoncées hier.	Uchumba ya Bwana Rogers na Bibi Smith ilitangazwa jana.	Uchumba ya Bwana Rogers na Bibi Smith ilitangazwa jana.
C'était romantique de marcher au clair de lune.	Ilikuwa ya kimapenzi kutembea kwenye mwangaza wa mwezi.	Ilikuwa ya kimapenzi kutembea kwenye mwangaza wa mwezi.
Il a donné un faux nom et une fausse adresse à la police.	Aliwapatia polisi jina la uwongo na anwani.	Aliwapatia polisi jina la uwongo na anwani.
Top secret !	Siri ya juu!	Siri ya juu!
Le couteau était si émoussé que je ne pus couper la viande avec et je dus recourir à mon couteau de poche.	Kisu kilikuwa laini sana hivi kwamba sikuweza kukata nyama nayo na ikabidi nirudi kwenye kisu changu cha mfukoni.	Kisu kilikuwa laini sana hivi kwamba sikuweza kukata nyama nayo na ikabidi nirudi kwenye kisu changu cha mfukoni.
Je suis navrée, je n'ai pas pu t'écrire plus tôt.	Samahani, sikuweza kukuandikia mapema.	Samahani, sikuweza kukuandikia mapema.
Wow! Quelle merveilleuse idée.	Wow! Ni wazo la ajabu sana.	Wow! Ni wazo la ajabu sana.
Quoi qu'il puisse arriver, tu ne dois pas oublier de sourire.	Chochote kinachoweza kutokea, lazima usisahau kutabasamu.	Chochote kinachoweza kutokea, lazima usisahau kutabasamu.
Voici encore dix coups pour toi, maudit salopard, pour avoir chié sur mon parterre de fleurs !	Kamata tena ngumi kumi, lainiwa mjinga, kwa kunyamba ku mauwa yangu ya chini.	Kamata tena ngumi kumi, lainiwa mjinga, kwa kunyamba ku mauwa yangu ya chini.
Maxime vit Marthe attendre à l'arrêt de bus.	Maxime alimwona Marthe akisubiri kituo cha basi.	Maxime alimwona Marthe akisubiri kituo cha basi.
Sors tout de suite.	Ondoka sasa hivi.	Ondoka sasa hivi.
Si F est un sous-espace vectoriel de dimension finie d'un espace préhilbertien réel E, alors F et F orthogonal sont supplémentaires.	Ikiwa F ni nafasi ya vector ya sura-laini ya nafasi ya kweli ya prehibbertian E, basi orthogonali F na F ni ya ziada.	Ikiwa F ni nafasi ya vector ya sura-laini ya nafasi ya kweli ya prehibbertian E, basi orthogonali F na F ni ya ziada.
Chacun est une Lune et possède une face cachée qu'il ne montre à personne.	Kila moja ni Mwezi na ina upande uliofichwa ambao hauonyeshi kwa mtu yeyote.	Kila moja ni Mwezi na ina upande uliofichwa ambao hauonyeshi kwa mtu yeyote.
Paul est une personne tellement plaisante que tout le monde l'aime de suite.	Paul ni mtu mzuri sana hivi kwamba kila mtu anampenda mara moja.	Paul ni mtu mzuri sana hivi kwamba kila mtu anampenda mara moja.
C’est une fille très grande ; elle porte un sweat blanc et un T-shirt bleu. Elle a aussi un pantalon à rayures plutôt joli et des baskets.	Yeye ni msichana murefu sana; anavaa mupiya ya mweupe na T-shati ya bleu. Yeye pia ana suruali nzuri ya kupigwa na maketch.	Yeye ni msichana murefu sana; anavaa mupiya ya mweupe na T-shati ya bleu. Yeye pia ana suruali nzuri ya kupigwa na maketch.
"Chéri, viens te coucher."" ""Non, pas tout de suite. Je dois encore traduire quelques phrases sur Tatoeba."	Mupenzi, kuya lal..» «Hapana, hapana sasa hivi. Bado ninahitaji kutafsiri misemo zimoya kuhusu Tatoeba.	Mupenzi, kuya lal..» «Hapana, hapana sasa hivi. Bado ninahitaji kutafsiri misemo zimoya kuhusu Tatoeba.
Désolé de ne pas avoir répondu plus tôt à ton message, j'étais occupé.	Samahani kwa kutojibu ujumbe wako mapema, nilikuwa na shughuli.	Samahani kwa kutojibu ujumbe wako mapema, nilikuwa na shughuli.
Aucun de nous n'avait la moindre idée de ce qui allait arriver.	Hakuna yeyote kati yetu alikuwa na kidokezo kile kitakachotokea.	Hakuna yeyote kati yetu alikuwa na kidokezo kile kitakachotokea.
Vous devez arriver à midi.	Lazima ufike saa sita mchana.	Lazima ufike saa sita mchana.
Je n'ai jamais compris cette volonté de vouloir constituer coûte que coûte des classes mixtes.	Sijawahi kuelewa hamu hii ya kutaka kuunda, kwa gharama yoyote, madarasa mchanganyiko.	Sijawahi kuelewa hamu hii ya kutaka kuunda, kwa gharama yoyote, madarasa mchanganyiko.
Daniel a obtenu un bon emploi.	Daniel alipata kazi nzuri.	Daniel alipata kazi nzuri.
Vous ne vous souvenez plus où vous avez mis votre clé.	Hukukumbuki tena mahali ulipoweka ufunguo wako.	Hukukumbuki tena mahali ulipoweka ufunguo wako.
J'aurai une rencontre avec le professeur à une heure et demi.	Nitakuwa na mkutano na profesa saa saba na nusu.	Nitakuwa na mkutano na profesa saa saba na nusu.
Hmm ! Oui, j'y crois.	Hmm! Ndio, ninaamini.	Hmm! Ndio, ninaamini.
Ne reculez pas !	Usirudi nyuma!	Usirudi nyuma!
Mathis n'a pas amené ses clés.	Mathis hakuleta funguo zake.	Mathis hakuleta funguo zake.
Lorsqu'on a pénétré le fond des choses, la perte des illusions amène la mort de l'âme, c'est-à-dire un désintéressement complet sur tout ce qui touche et occupe les autres hommes.	Wakati mtu ameingia chini ya vitu, upotezaji wa udanganyifu husababisha kifo cha roho, hiyo ni kusema kutokukata tamaa kabisa katika kila kitu kinachowagusa na kuwachukua watu wengine.	Wakati mtu ameingia chini ya vitu, upotezaji wa udanganyifu husababisha kifo cha roho, hiyo ni kusema kutokukata tamaa kabisa katika kila kitu kinachowagusa na kuwachukua watu wengine.
Ils sont actuellement en train de l'amener pour lui poser des questions.	Hivi sasa wanampeleka ili amuulize maswali.	Hivi sasa wanampeleka ili amuulize maswali.
Grâce à ton aide, j'ai pu enfin venir à bout du démon du jeu.	Shukrani kwa msaada wako, mwishowe niliweza kushinda pepo la mchezo.	Shukrani kwa msaada wako, mwishowe niliweza kushinda pepo la mchezo.
Je ne peux pas dire que M. Kelly ait vécu une vie de saint.	Siwezi kusema kwamba Bwana Kelly aliishi maisha matakatifu.	Siwezi kusema kwamba Bwana Kelly aliishi maisha matakatifu.
J'espère que vous ne direz à personne que vous m'avez vu sortir de cette maison.	Natumai hautamwambia mtu yeyote kuwa umeniona nikitoka ndani ya nyumba hii.	Natumai hautamwambia mtu yeyote kuwa umeniona nikitoka ndani ya nyumba hii.
Sur son char aussitôt la brillante déesse / revole vers Paphos, lieux charmants où sans cesse / l'encens le plus parfait, les plus nouvelles fleurs / embaument cent autels de leurs douces odeurs.	Kwenye gari lake mara moja mungu wa kike / anarukia kwa Paphos, maeneo yenye kupendeza ambapo saa zote / uvumba bora kabisa, maua mpya / unamisha madhabahu mia moja na harufu zao tamu.	Kwenye gari lake mara moja mungu wa kike / anarukia kwa Paphos, maeneo yenye kupendeza ambapo saa zote / uvumba bora kabisa, maua mpya / unamisha madhabahu mia moja na harufu zao tamu.
Cependant le vent tombe et meurt avec le jour. / Des Cyclopes cruels j'aborde le séjour : / je l'ignorais.	Lakini mupepo inapita na inapotea na siku. / Kupitia mupepeo ya kutisha sana minaanza siku: / Nilikuwa siijui.	Lakini mupepo inapita na inapotea na siku. / Kupitia mupepeo ya kutisha sana minaanza siku: / Nilikuwa siijui.
Appelles moi quand tu seras arrivé.	Nipigie ukifika hapo.	Nipigie ukifika hapo.
Nous sommes obligés de considérer comme fous beaucoup de nos esprits originaux — au moins jusqu'à ce que nous soyons devenus aussi malins qu'eux.	Tunalazimishwa kuzingatia akili zetu za asili kama wazimu - angalau mpaka tuwe wazima kama wao.	Tunalazimishwa kuzingatia akili zetu za asili kama wazimu - angalau mpaka tuwe wazima kama wao.
Le directeur de la recherche fit faire au département un travail complet de test du nouveau produit.	Mkurugenzi wa utafiti alikuwa na idara kufanya kazi kamili ya kujaribu bidhaa mpya.	Mkurugenzi wa utafiti alikuwa na idara kufanya kazi kamili ya kujaribu bidhaa mpya.
Suppose que tu t'y sois rendu et qu'elle ne s'y soit pas trouvée et qu'en plus il ait plu.	Tuseme ulikwenda huko na hakukuwa ako na kama nvula ilinyesha.	Tuseme ulikwenda huko na hakukuwa ako na kama nvula ilinyesha.
Un chasseur tire sur un lièvre et le rate d'un mètre à gauche, puis d'un mètre à droite. Statistiquement, le lièvre est mort.	Mwindaji hupiga harepa na kuikosa mita moja kwenda kushoto, kisha mita moja kwenda kulia. Kwa kweli, hare amekufa.	Mwindaji hupiga harepa na kuikosa mita moja kwenda kushoto, kisha mita moja kwenda kulia. Kwa kweli, hare amekufa.
Les belles femmes sont à la fois le paradis et l'enfer.	Wanawake wazuri wote ni mbinguni na kuzimu.	Wanawake wazuri wote ni mbinguni na kuzimu.
Elle a refusé son offre de soutien.	Alikataa msaada wake.	Alikataa msaada wake.
Il rentra à la maison en passant par Hong Kong.	Alirudi nyumbani kupitia Hong Kong.	Alirudi nyumbani kupitia Hong Kong.
Écoutez, si vous voulez.	Sikiya, ikiwa unataka.	Sikiya, ikiwa unataka.
Bonsoir, mon trésor ! Que je suis content d'être enfin à la maison !	Habari za jioni, hazina yangu! Minafurahi sana kufika nyumbani!	Habari za jioni, hazina yangu! Minafurahi sana kufika nyumbani!
Au bout de quelques minutes, elle coula un regard vers la porte, comme attirée par ce courant d'amour, et ses yeux, sans hésiter, se plongèrent dans les yeux de Rodolphe.	Baada ya dakika chache, akapiga hatua kuelekea mlangoni, kana kwamba amevutiwa na wakati huu wa upendo, na macho yake, bila kusita, yalitumbukia machoni mwa Rodolphe.	Baada ya dakika chache, akapiga hatua kuelekea mlangoni, kana kwamba amevutiwa na wakati huu wa upendo, na macho yake, bila kusita, yalitumbukia machoni mwa Rodolphe.
Théo est couché sur le canapé à regarder la télé.	Theo amelazwa juu ya kitanda akiangalia TV.	Theo amelazwa juu ya kitanda akiangalia TV.
Vous ne devez pas couper les cheveux tout de suite.	Sio lazima kukata nywele zako mara moja.	Sio lazima kukata nywele zako mara moja.
Ma clé USB contient un virus.	Hifadhi USB ina virusi.	Hifadhi USB ina virusi.
Je suis content que tu n'aies pas appelé Hugo.	Nimefurahi haukumpigia simu Hugo.	Nimefurahi haukumpigia simu Hugo.
Tu auras beaucoup de cadeaux pour ton anniversaire.	Utapata zawadi nyingi kwa siku yako ya kuzaliwa.	Utapata zawadi nyingi kwa siku yako ya kuzaliwa.
Nous devrions demander à Kylia de revenir.	Tunapashwa omba Kylia arudi.	Tunapashwa omba Kylia arudi.
Les gendarmes arabes algériens ont tiré à balles réelles sur des jeunes manifestants kabyles qui étaient pacifiques. Ils ont tué 128 jeunes kabyles et ont handicapé des milliers de kabyles à vie.	Wanajeshi wa Kiarabu wa Algeria walirusha risasi za moja kwa moja kwa waandamanaji wadogo wa Kabyle ambao walikuwa na amani. Waliwauwa vijana wa Kabyle 128 na waliwageuza walemavu maelfu ya watu wa Kabyle maishani yote.	Wanajeshi wa Kiarabu wa Algeria walirusha risasi za moja kwa moja kwa waandamanaji wadogo wa Kabyle ambao walikuwa na amani. Waliwauwa vijana wa Kabyle 128 na waliwageuza walemavu maelfu ya watu wa Kabyle maishani yote.
Êtes-vous au courant que votre nom a été prononcé lors d'un procès contre le gouvernement fédéral ?	Je! Unajua kuwa jina lako lilitajwa wakati wa kesi dhidi ya serikali ya shirikisho?	Je! Unajua kuwa jina lako lilitajwa wakati wa kesi dhidi ya serikali ya shirikisho?
Lors de la première guerre mondiale, « Anne of Green Gables » fut distribué par le gouvernement polonais aux troupes dans les tranchées pour leur rappeler pourquoi ils se battaient.	Wakati wa vita vya kwanza vya dunia, «Anne of Green Gables» ilisambazwa na serkali ya Pologne kwa vikosi ya maaskari kwenye mifereji kuwakumbusha kwa nini walikuwa wanapigana.	Wakati wa vita vya kwanza vya dunia, «Anne of Green Gables» ilisambazwa na serkali ya Pologne kwa vikosi ya maaskari kwenye mifereji kuwakumbusha kwa nini walikuwa wanapigana.
Il ne montre aucun intérêt pour la science.	Haonyeshi kupenda sayansi.	Haonyeshi kupenda sayansi.
Notre chat regardait des gamins s'amuser dans la rue.	Paka wetu alitazama watoto wakifurahisha barabarani.	Paka wetu alitazama watoto wakifurahisha barabarani.
Stephen Colbert est un type plutôt délirant.	Stephen Colbert ni mtu mudanganyifu.	Stephen Colbert ni mtu mudanganyifu.
Une bagarre a opposé les ouvriers à des agents de sécurité.	Mapigano yalipunguza wafanyikazi dhidi ya walinzi.	Mapigano yalipunguza wafanyikazi dhidi ya walinzi.
Tu es folle de te coltiner un va-nu-pieds pareil, ma puce!	Unajisumbua kujisumbua na ngozi isiyo na miguu, sweetie!	Unajisumbua kujisumbua na ngozi isiyo na miguu, sweetie!
La crosse d'une carabine américaine est une arme aussi dangereuse que le canon lui-même, surtout lorsqu'elle est maniée par un bras puissant.	Hifadhi ya bunduki ya Amerika ni hatari kama silaha kama pipa yenyewe, haswa inaposhughulikiwa na mkono wenye nguvu.	Hifadhi ya bunduki ya Amerika ni hatari kama silaha kama pipa yenyewe, haswa inaposhughulikiwa na mkono wenye nguvu.
Sa Majesté attend.	Muheshimiwa ana ngoja.	Muheshimiwa ana ngoja.
J’ai toujours cru que les étudiants en médecine étaient des gens vaillants et très occupés. Jusqu’à ce que je te rencontre.	Siku zote niliamini kuwa wanafunzi wa kitabibu walikuwa watu wenye bidii na watu wenye shughuli nyingi. Mpaka muda nitaweza ku kutana na wewe.	Siku zote niliamini kuwa wanafunzi wa kitabibu walikuwa watu wenye bidii na watu wenye shughuli nyingi. Mpaka muda nitaweza ku kutana na wewe.
Celui qui lui rend visite, doit être préparé à entendre des reproches, souvent bruyants, ou à se voir affecter quelque tâche.	Yeyote anayemtembelea lazima awe tayari kusikia matukano, mara nyingi kelele, au kupewa kazi fulani.	Yeyote anayemtembelea lazima awe tayari kusikia matukano, mara nyingi kelele, au kupewa kazi fulani.
On se voit au nouvel an.	Tutaonana katika mwaka mpya.	Tutaonana katika mwaka mpya.
Ensuite Hamilcar fit sortir une galère armée d’une catapulte à chaque bout.	Ndipo Hamilcar akatoa boti ya silaha kutoka kwa manati kila mwisho.	Ndipo Hamilcar akatoa boti ya silaha kutoka kwa manati kila mwisho.
C'est un type méchant.	Yeye ni mtu mbaya.	Yeye ni mtu mbaya.
Les scientifiques continuent de découvrir de nouveaux médicaments, il y a donc toujours de l'espoir pour les personnes dans le coma.	Wana kisayansi yanaendelea kutoka kwa maonyesho ya huduma hizi, kumbe kuna matumaini kwa wagonjwa hawa ndani ya chumba cha matibu.	Wana kisayansi yanaendelea kutoka kwa maonyesho ya huduma hizi, kumbe kuna matumaini kwa wagonjwa hawa ndani ya chumba cha matibu.
Lis la rubrique des annonces si tu cherches un boulot.	Soma sehemu za matangazo ikiwa unatafuta kazi.	Soma sehemu za matangazo ikiwa unatafuta kazi.
Aucun grand artiste ne voit jamais les choses telles qu'elles sont vraiment. S'il le faisait, il cesserait d'être un artiste.	Hakuna msanii mkubwa anayewahi kuona vitu kama vile vilivyo. Ikiwa angeifanya, angeacha kuwa msanii.	Hakuna msanii mkubwa anayewahi kuona vitu kama vile vilivyo. Ikiwa angeifanya, angeacha kuwa msanii.
